benchmark,job_n,mc_n,instance_i,makespan,convergence,UB,name,set
ABZ,20,15,2,678,4,678,ABZ9,FALSE
SWV,20,10,0,1407,4,1407,SWV01,TRUE
SWV,20,10,1,1475,4,1475,SWV02,TRUE
SWV,20,10,2,1398,4,1398,SWV03,TRUE
SWV,20,10,3,1464,4,1464,SWV04,TRUE
SWV,20,10,4,1424,4,1424,SWV05,TRUE
SWV,20,15,0,,2,1667,SWV06,TRUE
SWV,20,15,1,,2,1595,SWV07,TRUE
SWV,20,15,2,,2,1751,SWV08,TRUE
SWV,20,15,3,,2,1655,SWV09,TRUE
SWV,20,15,4,,2,1743,SWV10,TRUE
SWV,50,10,0,2983,4,2983,SWV11,TRUE
SWV,50,10,1,2972,4,2972,SWV12,TRUE
SWV,50,10,2,3104,4,3104,SWV13,TRUE
SWV,50,10,3,2968,4,2968,SWV14,TRUE
SWV,50,10,4,2885,4,2885,SWV15,TRUE
SWV,50,10,5,2924,4,2924,SWV16,FALSE
SWV,50,10,6,2794,4,2794,SWV17,FALSE
SWV,50,10,7,2852,4,2852,SWV18,FALSE
SWV,50,10,8,2843,4,2843,SWV19,FALSE
SWV,50,10,9,2823,4,2823,SWV20,FALSE
YN,20,20,0,,2,884,YN1,FALSE
YN,20,20,1,,2,904,YN2,FALSE
YN,20,20,2,,2,892,YN3,FALSE
YN,20,20,3,,2,968,YN4,FALSE
DMU,20,15,0,,2,2563,DMU01,FALSE
DMU,20,15,1,,2,2706,DMU02,FALSE
DMU,20,15,2,2731,4,2731,DMU03,FALSE
DMU,20,15,3,,2,2669,DMU04,FALSE
DMU,20,15,4,2749,4,2749,DMU05,FALSE
DMU,20,20,0,,2,3244,DMU06,FALSE
DMU,20,20,1,,2,3046,DMU07,FALSE
DMU,20,20,2,,2,3188,DMU08,FALSE
DMU,20,20,3,,2,3092,DMU09,FALSE
DMU,20,20,4,,2,2984,DMU10,FALSE
DMU,30,15,0,,2,3430,DMU11,FALSE
DMU,30,15,1,,2,3492,DMU12,FALSE
DMU,30,15,2,3681,4,3681,DMU13,FALSE
DMU,30,15,3,3394,4,3394,DMU14,FALSE
DMU,30,15,4,3343,4,3343,DMU15,FALSE
DMU,30,20,0,,2,3751,DMU16,FALSE
DMU,30,20,1,,2,3814,DMU17,FALSE
DMU,30,20,2,3844,4,3844,DMU18,FALSE
DMU,30,20,3,,2,3764,DMU19,FALSE
DMU,30,20,4,,2,3703,DMU20,FALSE
DMU,40,15,0,4380,4,4380,DMU21,FALSE
DMU,40,15,1,4725,4,4725,DMU22,FALSE
DMU,40,15,2,4668,4,4668,DMU23,FALSE
DMU,40,15,3,4648,4,4648,DMU24,FALSE
DMU,40,15,4,4164,4,4164,DMU25,FALSE
DMU,40,20,0,4647,4,4647,DMU26,FALSE
DMU,40,20,1,4848,4,4848,DMU27,FALSE
DMU,40,20,2,4692,4,4692,DMU28,FALSE
DMU,40,20,3,4691,4,4691,DMU29,FALSE
DMU,40,20,4,4732,4,4732,DMU30,FALSE
DMU,50,15,0,5640,4,5640,DMU31,FALSE
DMU,50,15,1,5927,4,5927,DMU32,FALSE
DMU,50,15,2,5728,4,5728,DMU33,FALSE
DMU,50,15,3,5385,4,5385,DMU34,FALSE
DMU,50,15,4,5635,4,5635,DMU35,FALSE
DMU,50,20,0,5621,4,5621,DMU36,FALSE
DMU,50,20,1,5851,4,5851,DMU37,FALSE
DMU,50,20,2,5713,4,5713,DMU38,FALSE
DMU,50,20,3,5747,4,5747,DMU39,FALSE
DMU,50,20,4,5577,4,5577,DMU40,FALSE
DMU,20,15,5,,2,3248,DMU41,TRUE
DMU,20,15,6,,2,3390,DMU42,TRUE
DMU,20,15,7,,2,3441,DMU43,TRUE
DMU,20,15,8,,2,3475,DMU44,TRUE
DMU,20,15,9,,2,3266,DMU45,TRUE
DMU,20,20,5,,2,4035,DMU46,TRUE
DMU,20,20,6,,2,3942,DMU47,TRUE
DMU,20,20,7,,2,3763,DMU48,TRUE
DMU,20,20,8,,2,3710,DMU49,TRUE
DMU,20,20,9,,2,3729,DMU50,TRUE
DMU,30,15,5,,2,4156,DMU51,TRUE
DMU,30,15,6,,2,4303,DMU52,TRUE
DMU,30,15,7,,2,4378,DMU53,TRUE
DMU,30,15,8,,2,4361,DMU54,TRUE
DMU,30,15,9,,2,4263,DMU55,TRUE
DMU,30,20,5,,2,4939,DMU56,TRUE
DMU,30,20,6,,2,4647,DMU57,TRUE
DMU,30,20,7,,2,4701,DMU58,TRUE
DMU,30,20,8,,2,4616,DMU59,TRUE
DMU,30,20,9,,2,4721,DMU60,TRUE
DMU,40,15,5,,2,5171,DMU61,TRUE
DMU,40,15,6,,2,5248,DMU62,TRUE
DMU,40,15,7,,2,5313,DMU63,TRUE
DMU,40,15,8,,2,5226,DMU64,TRUE
DMU,40,15,9,,2,5184,DMU65,TRUE
DMU,40,20,5,,2,5701,DMU66,TRUE
DMU,40,20,6,,2,5779,DMU67,TRUE
DMU,40,20,7,,2,5763,DMU68,TRUE
DMU,40,20,8,,2,5688,DMU69,TRUE
DMU,40,20,9,,2,5868,DMU70,TRUE
DMU,50,15,5,,2,6207,DMU71,TRUE
DMU,50,15,6,,2,6463,DMU72,TRUE
DMU,50,15,7,,2,6136,DMU73,TRUE
DMU,50,15,8,,2,6196,DMU74,TRUE
DMU,50,15,9,,2,6189,DMU75,TRUE
DMU,50,20,5,,2,6718,DMU76,TRUE
DMU,50,20,6,,2,6747,DMU77,TRUE
DMU,50,20,7,,2,6755,DMU78,TRUE
DMU,50,20,8,,2,6910,DMU79,TRUE
DMU,50,20,9,,2,6634,DMU80,TRUE
LA,10,5,0,666,4,666,LA01,FALSE
LA,10,5,1,655,4,655,LA02,FALSE
LA,10,5,2,597,4,597,LA03,FALSE
LA,10,5,3,590,4,590,LA04,FALSE
LA,10,5,4,593,4,593,LA05,FALSE
LA,15,5,0,926,4,926,LA06,FALSE
LA,15,5,1,890,4,890,LA07,FALSE
LA,15,5,2,863,4,863,LA08,FALSE
LA,15,5,3,951,4,951,LA09,FALSE
LA,15,5,4,958,4,958,LA10,FALSE
LA,20,5,0,1222,4,1222,LA11,FALSE
LA,20,5,1,1039,4,1039,LA12,FALSE
LA,20,5,2,1150,4,1150,LA13,FALSE
LA,20,5,3,1292,4,1292,LA14,FALSE
LA,20,5,4,1207,4,1207,LA15,FALSE
LA,10,10,0,945,4,945,LA16,FALSE
LA,10,10,1,784,4,784,LA17,FALSE
LA,10,10,2,848,4,848,LA18,FALSE
LA,10,10,3,842,4,842,LA19,FALSE
LA,10,10,4,902,4,902,LA20,FALSE
LA,15,10,0,1046,4,1046,LA21,FALSE
LA,15,10,1,927,4,927,LA22,FALSE
LA,15,10,2,1032,4,1032,LA23,FALSE
LA,15,10,3,935,4,935,LA24,FALSE
LA,15,10,4,977,4,977,LA25,FALSE
LA,20,10,0,1218,4,1218,LA26,FALSE
LA,20,10,1,1235,4,1235,LA27,FALSE
LA,20,10,2,1216,4,1216,LA28,FALSE
LA,20,10,3,,,1152,LA29,FALSE
LA,20,10,4,1355,4,1355,LA30,FALSE
LA,30,10,0,1784,4,1784,LA31,FALSE
LA,30,10,1,1850,4,1850,LA32,FALSE
LA,30,10,2,1719,4,1719,LA33,FALSE
LA,30,10,3,1721,4,1721,LA34,FALSE
LA,30,10,4,1888,4,1888,LA35,FALSE
LA,15,15,0,1268,4,1268,LA36,FALSE
LA,15,15,1,1397,4,1397,LA37,FALSE
LA,15,15,2,1196,4,1196,LA38,FALSE
LA,15,15,3,1233,4,1233,LA39,FALSE
LA,15,15,4,1222,4,1222,LA40,FALSE
FT,6,6,0,55,4,55,FT06,FALSE
FT,10,10,0,930,4,930,FT10,FALSE
FT,20,5,0,1165,4,1165,FT20,FALSE
ORB,10,10,0,1059,4,1059,ORB01,FALSE
ORB,10,10,1,888,4,888,ORB02,FALSE
ORB,10,10,2,1005,4,1005,ORB03,FALSE
ORB,10,10,3,1005,4,1005,ORB04,FALSE
ORB,10,10,4,887,4,887,ORB05,FALSE
ORB,10,10,5,1010,4,1010,ORB06,FALSE
ORB,10,10,6,397,4,397,ORB07,FALSE
ORB,10,10,7,899,4,899,ORB08,FALSE
ORB,10,10,8,934,4,934,ORB09,FALSE
ORB,10,10,9,944,4,944,ORB10,FALSE
